"","","Index value","Global rank","population age 60+ ('000000) in 2015","share of people 60+, 2015","share of people 60+, 2030","share of people 60+, 2050","I. INCOME SECURITY INDEX Value","I. INCOME SECURITY INDEX Rank","Pension income coverage","Poverty rate (relative definition) in old age","Relative welfare of the elderly","GNI per capita","II. HEALTH STATUS INDEX Value","II. HEALTH STATUS INDEX Rank","LE60","HALE60","Mental well-being (relative)","III. CAPABILITY Index Value","III. CAPABILITY Index Rank","Education","Employment","IV. ENABLING ENVIRONMENT Index Value","IV. ENABLING ENVRIONMENT Index Rank","Social Connectedness","Safe Walking Alone","Freedom in Your Life","Public transport","National policy on ageing","Region","Regional average Income security","Regional average Health status","Regional average Capability","Regional average Enabling environment"
"35","Hungary","52.179353467451321","39",2.455256,24.9137521038764,27.5912461015592,34.5725253417541,"73.1651979098894","38","91.4","9.7000000000000011","82.794877400000004",21563.0470409828,"47.449302548660654","57",20,14.978,"87.912087912087912","35.82687686868487","41","95.958095452498867",38.5,"63.14800073142721","60","87","44","67","62","yes ","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"36","Iceland","81.836607539237519","7",0.063111,19.1579266904455,25.7859081193357,30.8668494898615,"86.557952914125039","4","100","1.6","98",34848.0668596592,"78.200241545520683","8",25,17.806,NA,"54.505267720976619","18","40.901923076923076",81.1,"78.792976270856045","10","92","70","95","63","no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"37","India","37.859157641901412","71",116.552818,8.89003250444519,12.4851009517976,19.3535678516905,"45.90652562601197","72","28.9","5.0999999999999996","108.74007619999999",4991.40679515798,"27.042226917519141","87",17,12.573,"89.361702127659569","30.144703896770164","55","22.35621401950678",54.5,"65.346416088261179","52","52","66","77","69","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"38","Indonesia","36.594552934245286","74",21.194437,8.22881001354946,13.1843065784523,19.2082235145855,"19.904966051724937","86","8.1","12",NA,8595.02508331951,"37.804723965097303","70",18,14.286,"91.83673469387756","28.784684142519733","61","16.194914476827517",66.7,"79.018344591690379","8","78","89","78","72","yes","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"39","Iraq","23.202621350508117","87",1.81657,4.98737144080062,5.84799753774599,8.84838232134848,"59.059388959760838","60","56.2","18.2","97.509787299999999",13233.4575714011,"32.828468336694193","75",18,14.173,NA,"11.900423289695713","92","11.453962008141112",32.2,"49.572549762471233","92","66","50","30","61","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"40","Ireland","71.952011348308986","15",0.860786,18.3596550256854,24.352342458641,30.955306323631,"79.945872886386994","18","90.5","7.3","94",36737.3008486894,"73.144865859090658","17",24,17.545,"96.703296703296701","40.627715158429062","35","52.885221606648201",51.3,"77.018720733499265","16","95","66","92","61","yes ","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"41","Israel","70.08298862311716","18",1.277514,15.8421167762644,18.0866335616161,21.8729475832691,"67.795047773119919","47","73.599999999999994","20.597360000000002","95.760189995778106",30144.9483567008,"69.792368502524255","26",24,17.891,"86.813186813186817","59.22480277806428","13","70.164808946877912",64.6,"69.631633067098605","35","91","69","72","52","no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"42","Italy","53.514913530728236","37",17.107936,28.6096961780377,36.5567613209691,40.7268582624831,"78.221396146250086","24","81","7.4","101",34935.1086547858,"78.686124915711972","6",25,18.504,"94.623655913978496","28.186619374182875","63","41.585848200410261",42.7,"58.537345211309542","74","91","55.000000000000007","46","51","no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"43","Japan","80.791786422575598","8",41.872752,33.0817732665502,37.3005739979227,42.4876022461379,"75.051599265154579","33","98.4","19.434170000000002","87.653900822030693",36092.7904557326,"83.891788020799197","1",26,20.316,"87.804878048780495","62.718679514734184","7","74.068494836865568",66.8,"75.008825108893518","21","89","76","78","60","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"44","Jordan","28.581330527126209","85",0.413761,5.44813271943672,8.5815438786857,15.8137843771937,"59.368447686789558","58","42.199999999999996","4.5513903259373238","117.067603619048",11200.6356106354,"43.612262560864401","67",19,15.038,"88.043478260869563","4.3543773841487159","95","30.071489971346704",22.5,"70.627942953185055","32","72","90","64","60","yes ","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"45","Republic of Korea","44.007842938181739","60",9.324746,18.5406808231984,31.4197502784776,41.5121024225164,"24.715355401071147","82","77.600000000000009","48.529109999999996","62.373712825569207",32224.5608001344,"58.212292001671848","42",24,18.25,"70","47.564941299853324","26","45.886304235537189",64.3,"64.059582423625372","54","60","59","67","71","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
